,Año,Trimestre,Provincia,accesos
418,2018,1,La Pampa,71.75
419,2018,1,La Rioja,51.44
420,2018,1,Mendoza,37.07
421,2018,1,Misiones,30.96
422,2018,1,Neuquén,61.52
423,2018,1,Río Negro,49.82
424,2018,1,Salta,39.78
425,2018,1,San Juan,32.61
426,2018,1,San Luis,15.15
427,2018,1,Santa Cruz,33.55
428,2018,1,Santa Fe,62.28
429,2018,1,Santiago Del Estero,34.99
430,2018,1,Tierra Del Fuego,65.2
431,2018,1,Tucumán,41.18
432,2017,4,Buenos Aires,57.61
433,2017,4,Capital Federal,122.9
434,2017,4,Catamarca,28.62
435,2017,4,Chaco,30.81
436,2017,4,Chubut,51.46
437,2017,4,Córdoba,63.33
438,2017,4,Corrientes,32.52
439,2017,4,Entre Ríos,47.89
440,2017,4,Formosa,21.27
441,2017,4,Jujuy,22.74
442,2017,4,La Pampa,71.05
443,2017,4,La Rioja,51.57
444,2017,4,Mendoza,33.33
445,2017,4,Misiones,31.14
446,2017,4,Neuquén,61.24
447,2017,4,Río Negro,49.38
448,2017,4,Salta,39.8
449,2017,4,San Juan,30.3
450,2017,4,San Luis,10.59
451,2017,4,Santa Cruz,28.91
452,2017,4,Santa Fe,61.71
453,2017,4,Santiago Del Estero,29.13
454,2017,4,Tierra Del Fuego,59.89
455,2017,4,Tucumán,39.9
456,2017,3,Buenos Aires,55.63
457,2017,3,Capital Federal,121.86
458,2017,3,Catamarca,32.49
459,2017,3,Chaco,29.98
460,2017,3,Chubut,46.22
461,2017,3,Córdoba,62.31
462,2017,3,Corrientes,32.17
463,2017,3,Entre Ríos,45.96
464,2017,3,Formosa,21.35
465,2017,3,Jujuy,22.65
466,2017,3,La Pampa,69.14
467,2017,3,La Rioja,51.47
468,2017,3,Mendoza,35.7
469,2017,3,Misiones,30.21
470,2017,3,Neuquén,60.83
471,2017,3,Río Negro,48.52
472,2017,3,Salta,39.84
473,2017,3,San Juan,32.37
474,2017,3,San Luis,15.48
475,2017,3,Santa Cruz,33.29
476,2017,3,Santa Fe,60.91
477,2017,3,Santiago Del Estero,35.12
478,2017,3,Tierra Del Fuego,65.74
479,2017,3,Tucumán,39.7
480,2017,2,Buenos Aires,56.27
481,2017,2,Capital Federal,124.06
482,2017,2,Catamarca,25.98
483,2017,2,Chaco,29.05
484,2017,2,Chubut,35.55
485,2017,2,Córdoba,58.97
486,2017,2,Corrientes,31.39
487,2017,2,Entre Ríos,45.39
488,2017,2,Formosa,19.97
489,2017,2,Jujuy,22.4
490,2017,2,La Pampa,63.49
491,2017,2,La Rioja,16.2
492,2017,2,Mendoza,31.76
493,2017,2,Misiones,30.09
494,2017,2,Neuquén,61.91
495,2017,2,Río Negro,46.02
496,2017,2,Salta,32.74
497,2017,2,San Juan,26.96
498,2017,2,San Luis,9.51
499,2017,2,Santa Cruz,26.25
500,2017,2,Santa Fe,52.27
501,2017,2,Santiago Del Estero,14.12
502,2017,2,Tierra Del Fuego,68.46
503,2017,2,Tucumán,38.19
504,2017,1,Buenos Aires,58.57
505,2017,1,Capital Federal,108.37
506,2017,1,Catamarca,25.66
507,2017,1,Chaco,28.62
508,2017,1,Chubut,35.66
509,2017,1,Córdoba,57.65
510,2017,1,Corrientes,30.94
511,2017,1,Entre Ríos,44.91
512,2017,1,Formosa,19.84
513,2017,1,Jujuy,22.76
514,2017,1,La Pampa,62.67
515,2017,1,La Rioja,16.2
516,2017,1,Mendoza,31.84
517,2017,1,Misiones,29.52
518,2017,1,Neuquén,61.02
519,2017,1,Río Negro,46.03
520,2017,1,Salta,32.58
521,2017,1,San Juan,27.04
522,2017,1,San Luis,9.55
523,2017,1,Santa Cruz,26.52
524,2017,1,Santa Fe,51.97
525,2017,1,Santiago Del Estero,14.7
526,2017,1,Tierra Del Fuego,68.92
527,2017,1,Tucumán,37.9
528,2016,4,Buenos Aires,61.24
529,2016,4,Capital Federal,120.63
530,2016,4,Catamarca,26.54
531,2016,4,Chaco,28.79
532,2016,4,Chubut,36.07
533,2016,4,Córdoba,57.7
534,2016,4,Corrientes,30.98
535,2016,4,Entre Ríos,45.21
536,2016,4,Formosa,19.85
537,2016,4,Jujuy,22.65
538,2016,4,La Pampa,63.02
539,2016,4,La Rioja,16.46
540,2016,4,Mendoza,32.11
541,2016,4,Misiones,29.72
542,2016,4,Neuquén,60.87
543,2016,4,Río Negro,46.39
544,2016,4,Salta,32.69
545,2016,4,San Juan,27.29
546,2016,4,San Luis,9.64
547,2016,4,Santa Cruz,27.05
548,2016,4,Santa Fe,52.19
549,2016,4,Santiago Del Estero,15.07
550,2016,4,Tierra Del Fuego,70.31
551,2016,4,Tucumán,37.98
552,2016,3,Buenos Aires,60.14
553,2016,3,Capital Federal,120.77
554,2016,3,Catamarca,26.48
555,2016,3,Chaco,28.91
556,2016,3,Chubut,36.18
557,2016,3,Córdoba,58.24
558,2016,3,Corrientes,31.07
559,2016,3,Entre Ríos,45.44
560,2016,3,Formosa,18.64
561,2016,3,Jujuy,22.61
562,2016,3,La Pampa,61.73
563,2016,3,La Rioja,17.07
564,2016,3,Mendoza,32.09
565,2016,3,Misiones,29.91
566,2016,3,Neuquén,60.21
567,2016,3,Río Negro,46.39
568,2016,3,Salta,32.96
569,2016,3,San Juan,27.32
570,2016,3,San Luis,9.63
571,2016,3,Santa Cruz,26.84
572,2016,3,Santa Fe,52.67
573,2016,3,Santiago Del Estero,15.33
574,2016,3,Tierra Del Fuego,68.94
575,2016,3,Tucumán,37.9
576,2016,2,Buenos Aires,59.34
577,2016,2,Capital Federal,120.04
578,2016,2,Catamarca,26.07
579,2016,2,Chaco,28.59
580,2016,2,Chubut,36.12
581,2016,2,Córdoba,57.55
582,2016,2,Corrientes,30.58
583,2016,2,Entre Ríos,44.74
584,2016,2,Formosa,19.37
585,2016,2,Jujuy,21.89
586,2016,2,La Pampa,60.44
587,2016,2,La Rioja,16.88
588,2016,2,Mendoza,32.13
589,2016,2,Misiones,29.24
590,2016,2,Neuquén,59.1
591,2016,2,Río Negro,46.24
592,2016,2,Salta,32.08
593,2016,2,San Juan,27.34
594,2016,2,San Luis,9.6
595,2016,2,Santa Cruz,26.73
596,2016,2,Santa Fe,52.44
597,2016,2,Santiago Del Estero,15.89
598,2016,2,Tierra Del Fuego,67.72
599,2016,2,Tucumán,37.24
600,2016,1,Buenos Aires,57.34
601,2016,1,Capital Federal,115.16
602,2016,1,Catamarca,25.91
603,2016,1,Chaco,28.08
604,2016,1,Chubut,36.09
605,2016,1,Córdoba,55.28
606,2016,1,Corrientes,30.08
607,2016,1,Entre Ríos,43.85
608,2016,1,Formosa,19.04
609,2016,1,Jujuy,21.41
610,2016,1,La Pampa,57.84
611,2016,1,La Rioja,16.83
612,2016,1,Mendoza,32.12
613,2016,1,Misiones,28.37
614,2016,1,Neuquén,55.75
615,2016,1,Río Negro,45.84
616,2016,1,Salta,31.32
617,2016,1,San Juan,27.33
618,2016,1,San Luis,9.59
619,2016,1,Santa Cruz,26.87
620,2016,1,Santa Fe,51.28
621,2016,1,Santiago Del Estero,16.21
622,2016,1,Tierra Del Fuego,65.83
623,2016,1,Tucumán,36.72
624,2015,4,Buenos Aires,58.29
625,2015,4,Capital Federal,118.13
626,2015,4,Catamarca,26.24
627,2015,4,Chaco,28.35
628,2015,4,Chubut,36.89
629,2015,4,Córdoba,57.36
630,2015,4,Corrientes,30.34
631,2015,4,Entre Ríos,44.11
632,2015,4,Formosa,19.07
633,2015,4,Jujuy,21.47
634,2015,4,La Pampa,58.76
635,2015,4,La Rioja,17.32
636,2015,4,Mendoza,32.49
637,2015,4,Misiones,28.69
638,2015,4,Neuquén,58.29
639,2015,4,Río Negro,46.44
640,2015,4,Salta,31.59
641,2015,4,San Juan,27.66
642,2015,4,San Luis,9.71
643,2015,4,Santa Cruz,27.74
644,2015,4,Santa Fe,52.61
645,2015,4,Santiago Del Estero,17
646,2015,4,Tierra Del Fuego,66.46
647,2015,4,Tucumán,37.06
648,2015,3,Buenos Aires,57.69
649,2015,3,Capital Federal,118.29
650,2015,3,Catamarca,25.86
651,2015,3,Chaco,27.96
652,2015,3,Chubut,36.81
653,2015,3,Córdoba,57.08
654,2015,3,Corrientes,30.17
655,2015,3,Entre Ríos,43.68
656,2015,3,Formosa,18.84
657,2015,3,Jujuy,21.27
658,2015,3,La Pampa,57.96
659,2015,3,La Rioja,17.15
660,2015,3,Mendoza,32.49
661,2015,3,Misiones,28.31
662,2015,3,Neuquén,54.6
663,2015,3,Río Negro,46.39
664,2015,3,Salta,31.18
665,2015,3,San Juan,27.67
666,2015,3,San Luis,9.71
667,2015,3,Santa Cruz,27.61
668,2015,3,Santa Fe,52.15
669,2015,3,Santiago Del Estero,17.12
670,2015,3,Tierra Del Fuego,74.86
671,2015,3,Tucumán,36.61
672,2015,2,Buenos Aires,56.8
673,2015,2,Capital Federal,116.07
674,2015,2,Catamarca,25.45
675,2015,2,Chaco,27.46
676,2015,2,Chubut,36.58
677,2015,2,Córdoba,55.87
678,2015,2,Corrientes,29.58
679,2015,2,Entre Ríos,42.93
680,2015,2,Formosa,18.36
681,2015,2,Jujuy,20.29
682,2015,2,La Pampa,56.71
683,2015,2,La Rioja,16.88
684,2015,2,Mendoza,32.49
685,2015,2,Misiones,27.35
686,2015,2,Neuquén,53.12
687,2015,2,Río Negro,45.98
688,2015,2,Salta,30.46
689,2015,2,San Juan,27.64
690,2015,2,San Luis,9.71
691,2015,2,Santa Cruz,27.07
692,2015,2,Santa Fe,51.18
693,2015,2,Santiago Del Estero,17.11
694,2015,2,Tierra Del Fuego,74.51
695,2015,2,Tucumán,35.69
696,2015,1,Buenos Aires,56.37
697,2015,1,Capital Federal,114.9
698,2015,1,Catamarca,25.11
699,2015,1,Chaco,26.65
700,2015,1,Chubut,37.61
701,2015,1,Córdoba,54.7
702,2015,1,Corrientes,28.95
703,2015,1,Entre Ríos,42.07
704,2015,1,Formosa,18.12
705,2015,1,Jujuy,19.69
706,2015,1,La Pampa,55.51
707,2015,1,La Rioja,16.7
708,2015,1,Mendoza,32.37
709,2015,1,Misiones,26.31
710,2015,1,Neuquén,51.95
711,2015,1,Río Negro,45.33
712,2015,1,Salta,30.01
713,2015,1,San Juan,27.55
714,2015,1,San Luis,9.72
715,2015,1,Santa Cruz,27.99
716,2015,1,Santa Fe,50.24
717,2015,1,Santiago Del Estero,17.06
718,2015,1,Tierra Del Fuego,74.23
719,2015,1,Tucumán,35.08
720,2014,4,Buenos Aires,56.09
721,2014,4,Capital Federal,114.9
722,2014,4,Catamarca,25.51
723,2014,4,Chaco,21.87
724,2014,4,Chubut,40.25
725,2014,4,Córdoba,54.7
726,2014,4,Corrientes,23.56
727,2014,4,Entre Ríos,36.03
728,2014,4,Formosa,17.96
729,2014,4,Jujuy,19.6
730,2014,4,La Pampa,51.27
731,2014,4,La Rioja,17.01
732,2014,4,Mendoza,32.64
733,2014,4,Misiones,24.16
734,2014,4,Neuquén,52.55
735,2014,4,Río Negro,45.48
736,2014,4,Salta,29.53
737,2014,4,San Juan,28.04
738,2014,4,San Luis,9.79
739,2014,4,Santa Cruz,27.8
740,2014,4,Santa Fe,50
741,2014,4,Santiago Del Estero,17.27
742,2014,4,Tierra Del Fuego,66.14
743,2014,4,Tucumán,35.32
744,2014,3,Buenos Aires,56.75
745,2014,3,Capital Federal,113.8
746,2014,3,Catamarca,24.71
747,2014,3,Chaco,21.11
748,2014,3,Chubut,40.6
749,2014,3,Córdoba,54.23
750,2014,3,Corrientes,22.79
751,2014,3,Entre Ríos,34.98
752,2014,3,Formosa,17.77
753,2014,3,Jujuy,18.37
754,2014,3,La Pampa,55.78
755,2014,3,La Rioja,16.51
756,2014,3,Mendoza,32.31
757,2014,3,Misiones,23.57
758,2014,3,Neuquén,56.4
759,2014,3,Río Negro,46.2
760,2014,3,Salta,29.22
761,2014,3,San Juan,27.85
762,2014,3,San Luis,9.71
763,2014,3,Santa Cruz,28.23
764,2014,3,Santa Fe,49.2
765,2014,3,Santiago Del Estero,16.49
766,2014,3,Tierra Del Fuego,65.69
767,2014,3,Tucumán,33.94
768,2014,2,Buenos Aires,55.06
769,2014,2,Capital Federal,113.14
770,2014,2,Catamarca,24.7
771,2014,2,Chaco,20.96
772,2014,2,Chubut,41.41
773,2014,2,Córdoba,53.45
774,2014,2,Corrientes,22.58
775,2014,2,Entre Ríos,34.69
776,2014,2,Formosa,17.54
777,2014,2,Jujuy,18.71
778,2014,2,La Pampa,49.71
779,2014,2,La Rioja,16.5
780,2014,2,Mendoza,32.1
781,2014,2,Misiones,23.37
782,2014,2,Neuquén,50.84
783,2014,2,Río Negro,45.33
784,2014,2,Salta,28.91
785,2014,2,San Juan,27.78
786,2014,2,San Luis,9.72
787,2014,2,Santa Cruz,29.38
788,2014,2,Santa Fe,48.39
789,2014,2,Santiago Del Estero,16.7
790,2014,2,Tierra Del Fuego,64.36
791,2014,2,Tucumán,33.94
792,2014,1,Buenos Aires,54.57
793,2014,1,Capital Federal,112.25
794,2014,1,Catamarca,24.25
795,2014,1,Chaco,20.72
796,2014,1,Chubut,41.24
797,2014,1,Córdoba,52.52
798,2014,1,Corrientes,22.32
799,2014,1,Entre Ríos,34.37
800,2014,1,Formosa,17.42
801,2014,1,Jujuy,18.42
802,2014,1,La Pampa,48.43
